Country Name,Country Code,year,GDP_USD,GDP_per_capita_USD
Mali,MLI,1960,,
Malta,MLT,1960,,
Myanmar,MMR,1960,,
Middle East & North Africa (excluding high income),MNA,1960,,
Montenegro,MNE,1960,,
Mongolia,MNG,1960,,
Northern Mariana Islands,MNP,1960,,
Mozambique,MOZ,1960,,
Mauritania,MRT,1960,,
Mauritius,MUS,1960,,
Malawi,MWI,1960,162956740.9,44.52394299
Malaysia,MYS,1960,1916241997.0,234.9388974
North America,NAC,1960,583846000000.0,2939.448335
Namibia,NAM,1960,,
New Caledonia,NCL,1960,,
Niger,NER,1960,449526872.6,132.651771
Nigeria,NGA,1960,4196092258.0,92.9604656
Nicaragua,NIC,1960,223854666.7,126.248168
Netherlands,NLD,1960,12276734172.0,1068.784587
Norway,NOR,1960,5163271598.0,1441.75566
Nepal,NPL,1960,508334414.0,50.30493772
Nauru,NRU,1960,,
New Zealand,NZL,1960,5485854792.0,2312.949992
OECD members,OED,1960,1080910000000.0,1335.424217
Oman,OMN,1960,,
Other small states,OSS,1960,,
Pakistan,PAK,1960,3749265015.0,83.33794593
Panama,PAN,1960,537147100.0,474.0906704
Peru,PER,1960,2571908062.0,253.2649213
Philippines,PHL,1960,7515886651.0,286.1043301
Palau,PLW,1960,,
Papua New Guinea,PNG,1960,230496033.0,102.1766587
Poland,POL,1960,,
Pre-demographic dividend,PRE,1960,20936197438.0,111.5900363
Puerto Rico,PRI,1960,1691900000.0,717.5148431
"Korea, Dem. People's Rep.",PRK,1960,,
Portugal,PRT,1960,3193200404.0,360.4992985
Paraguay,PRY,1960,,
West Bank and Gaza,PSE,1960,,
Pacific island small states,PSS,1960,,
Post-demographic dividend,PST,1960,1047800000000.0,1387.393967
French Polynesia,PYF,1960,,
Qatar,QAT,1960,,
Romania,ROU,1960,,
Russian Federation,RUS,1960,,
Rwanda,RWA,1960,119000024.0,40.53721128
South Asia,SAS,1960,47170699608.0,82.34539891
Saudi Arabia,SAU,1960,,
Sudan,SDN,1960,1307333333.0,125.8598404
Senegal,SEN,1960,1003692375.0,312.9929628
Singapore,SGP,1960,704756304.7,428.05898
Solomon Islands,SLB,1960,,
Sierra Leone,SLE,1960,322009471.6,138.9386399
El Salvador,SLV,1960,,
San Marino,SMR,1960,,
Somalia,SOM,1960,180459936.8,65.47971611
Serbia,SRB,1960,,
Sub-Saharan Africa (excluding high income),SSA,1960,31156661601.0,137.1383339
South Sudan,SSD,1960,,
Sub-Saharan Africa,SSF,1960,31167737397.0,137.1619094
Small states,SST,1960,,
Sao Tome and Principe,STP,1960,,
Suriname,SUR,1960,99650000.0,346.1631987
Slovak Republic,SVK,1960,,
Slovenia,SVN,1960,,
Sweden,SWE,1960,15822585034.0,2114.002973
Eswatini,SWZ,1960,35076158.48,104.2140558
Sint Maarten (Dutch part),SXM,1960,,
Seychelles,SYC,1960,12012012.01,288.057842
Syrian Arab Republic,SYR,1960,857704413.4,187.5372883
Turks and Caicos Islands,TCA,1960,,
Chad,TCD,1960,313582729.4,104.4717189
East Asia & Pacific (IDA & IBRD countries),TEA,1960,81224996965.0,91.94114291
Europe & Central Asia (IDA & IBRD countries),TEC,1960,,
Togo,TGO,1960,121128073.1,76.63869662
Thailand,THA,1960,2760747472.0,100.767475
Tajikistan,TJK,1960,,
Turkmenistan,TKM,1960,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1960,79494964747.0,379.0004054
Timor-Leste,TLS,1960,,
Middle East & North Africa (IDA & IBRD countries),TMN,1960,,
Tonga,TON,1960,,
South Asia (IDA & IBRD),TSA,1960,47170699608.0,82.34539891
Sub-Saharan Africa (IDA & IBRD countries),TSS,1960,31167737397.0,137.1619094
Trinidad and Tobago,TTO,1960,535670127.7,631.7065847
Tunisia,TUN,1960,,
Turkiye,TUR,1960,13983572895.0,509.0055454
Tuvalu,TUV,1960,,
Tanzania,TZA,1960,,
Uganda,UGA,1960,423008385.7,62.50962537
Ukraine,UKR,1960,,
Upper middle income,UMC,1960,241948000000.0,216.9510748
Uruguay,URY,1960,1242289239.0,489.350725
United States,USA,1960,543300000000.0,3007.123445
Uzbekistan,UZB,1960,,
St. Vincent and the Grenadines,VCT,1960,13066557.78,161.3752968
"Venezuela, RB",VEN,1960,7779090909.0,955.4464181
British Virgin Islands,VGB,1960,,
Virgin Islands (U.S.),VIR,1960,,
Vietnam,VNM,1960,,
Vanuatu,VUT,1960,,
World,WLD,1960,1392050000000.0,459.0967354
Samoa,WSM,1960,,
Kosovo,XKX,1960,,
"Yemen, Rep.",YEM,1960,,
South Africa,ZAF,1960,8748596504.0,511.6187374
Zambia,ZMB,1960,713000000.0,232.1885645
Zimbabwe,ZWE,1960,1052990400.0,278.8138468
Aruba,ABW,1961,,
Africa Eastern and Southern,AFE,1961,21808473825.0,162.5559676
Afghanistan,AFG,1961,548888895.6,59.86089999
Africa Western and Central,AFW,1961,11127894641.0,113.0800619
Angola,AGO,1961,,
Albania,ALB,1961,,
Andorra,AND,1961,,
Arab World,ARB,1961,,
United Arab Emirates,ARE,1961,,
Argentina,ARG,1961,,
Armenia,ARM,1961,,
American Samoa,ASM,1961,,
Antigua and Barbuda,ATG,1961,,
Australia,AUS,1961,19683055213.0,1877.616638
Austria,AUT,1961,7311749633.0,1031.815004
Azerbaijan,AZE,1961,,
Burundi,BDI,1961,202999992.0,71.16718821
Belgium,BEL,1961,12400145222.0,1350.197673
Benin,BEN,1961,235668222.4,95.57223223
Burkina Faso,BFA,1961,350247237.1,71.55818009
Bangladesh,BGD,1961,4817580184.0,97.5952917
Bulgaria,BGR,1961,,
Bahrain,BHR,1961,,
"Bahamas, The",BHS,1961,190098039.2,1651.317673
Bosnia and Herzegovina,BIH,1961,,
Belarus,BLR,1961,,
Belize,BLZ,1961,29964370.71,316.4136295
Bermuda,BMU,1961,89249986.7,1961.538169
Bolivia,BOL,1961,406684585.7,109.061304
Brazil,BRA,1961,17275940449.0,232.4805462
Barbados,BRB,1961,,
Brunei Darussalam,BRN,1961,,
Bhutan,BTN,1961,,
Botswana,BWA,1961,32902336.64,64.17613957
Central African Republic,CAF,1961,123134584.5,80.68806373
Canada,CAN,1961,40934952064.0,2240.433039
Central Europe and the Baltics,CEB,1961,,
Switzerland,CHE,1961,10712712465.0,1971.316323
Channel Islands,CHI,1961,,
Chile,CHL,1961,4609727273.0,555.1344026
China,CHN,1961,50056868958.0,75.80583793
Cote d'Ivoire,CIV,1961,618245639.2,170.2430505
Cameroon,CMR,1961,652777613.6,123.5148081
"Congo, Dem. Rep.",COD,1961,3086746857.0,197.3913592
"Congo, Rep.",COG,1961,151675739.2,145.4059788
Colombia,COL,1961,4540447761.0,274.0522642
Comoros,COM,1961,,
Cabo Verde,CPV,1961,,
Costa Rica,CRI,1961,490325181.6,355.0027488
Caribbean small states,CSS,1961,2038301741.0,476.9014839
Cuba,CUB,1961,,
Curacao,CUW,1961,,
Cayman Islands,CYM,1961,,
Cyprus,CYP,1961,,
Czech Republic,CZE,1961,,
Germany,DEU,1961,,
Djibouti,DJI,1961,,
Dominica,DMA,1961,,
Denmark,DNK,1961,,
Dominican Republic,DOM,1961,654100200.0,192.0276125
Algeria,DZA,1961,2434727330.0,214.7719801
East Asia & Pacific (excluding high income),EAP,1961,71614404162.0,80.06175616
Early-demographic dividend,EAR,1961,158913000000.0,158.4065674
East Asia & Pacific,EAS,1961,155145000000.0,148.6555343
Europe & Central Asia (excluding high income),ECA,1961,,
Europe & Central Asia,ECS,1961,,
Ecuador,ECU,1961,1753850417.0,375.2213046
"Egypt, Arab Rep.",EGY,1961,,
Euro area,EMU,1961,268965000000.0,1005.022273
Eritrea,ERI,1961,,
Spain,ESP,1961,13834300571.0,450.0532892
Estonia,EST,1961,,
Ethiopia,ETH,1961,,
European Union,EUU,1961,,
Fragile and conflict affected situations,FCS,1961,,
Finland,FIN,1961,5921659485.0,1327.427224
Fiji,FJI,1961,116987784.9,287.2670559
France,FRA,1961,67461644222.0,1428.046001
Faroe Islands,FRO,1961,,
"Micronesia, Fed. Sts.",FSM,1961,,
Gabon,GAB,1961,167637908.5,331.4358018
United Kingdom,GBR,1961,77741965703.0,1472.385714
Georgia,GEO,1961,,
Ghana,GHA,1961,1302521008.0,190.1965043
Gibraltar,GIB,1961,,
Guinea,GIN,1961,,
"Gambia, The",GMB,1961,,
Guinea-Bissau,GNB,1961,,
Equatorial Guinea,GNQ,1961,,
Greece,GRC,1961,4961400439.0,590.7800548
Grenada,GRD,1961,,
Greenland,GRL,1961,,
Guatemala,GTM,1961,1076699900.0,253.22729
Guam,GUM,1961,,
Guyana,GUY,1961,185848451.3,315.3854595
High income,HIC,1961,1131820000000.0,1434.115616
"Hong Kong SAR, China",HKG,1961,1383681651.0,436.7544115
Honduras,HND,1961,356200000.0,169.9097551
Heavily indebted poor countries (HIPC),HPC,1961,17810256436.0,107.5673075
Croatia,HRV,1961,,
Haiti,HTI,1961,271066000.0,68.76433933
Hungary,HUN,1961,,
IBRD only,IBD,1961,313138000000.0,161.3815111
IDA & IBRD total,IBT,1961,352695000000.0,151.4262558
IDA total,IDA,1961,38965513998.0,100.2205381
IDA blend,IDB,1961,12910165409.0,104.7299496
Indonesia,IDN,1961,,
IDA only,IDX,1961,26855051990.0,101.1388026
Isle of Man,IMN,1961,,
India,IND,1961,39232435784.0,85.35430099
Not classified,INX,1961,,
Ireland,IRL,1961,2088012282.0,739.2764064
"Iran, Islamic Rep.",IRN,1961,4426949095.0,196.9250906
Iraq,IRQ,1961,1831700364.0,245.0320867
Iceland,ISL,1961,253885656.3,1418.12587
Israel,ISR,1961,3138500000.0,1436.384439
Italy,ITA,1961,44842760293.0,887.3367446
Jamaica,JAM,1961,748028839.4,453.0578344
Jordan,JOR,1961,,
Japan,JPN,1961,53508617739.0,568.9077427
Kazakhstan,KAZ,1961,,
Kenya,KEN,1961,792959472.1,94.65129268
Kyrgyz Republic,KGZ,1961,,
Cambodia,KHM,1961,642857134.3,109.4603502
Kiribati,KIR,1961,,
St. Kitts and Nevis,KNA,1961,12483229.31,243.8321218
"Korea, Rep.",KOR,1961,2417558289.0,93.82864905
Kuwait,KWT,1961,,
Latin America & Caribbean (excluding high income),LAC,1961,71544948484.0,355.1176621
Lao PDR,LAO,1961,,
Lebanon,LBN,1961,,
Liberia,LBR,1961,,
Libya,LBY,1961,,
St. Lucia,LCA,1961,,
Latin America & Caribbean,LCN,1961,89564538264.0,396.4563778
Least developed countries: UN classification,LDC,1961,,
Low income,LIC,1961,,
Liechtenstein,LIE,1961,,
Sri Lanka,LKA,1961,1444327731.0,142.8381424
Lower middle income,LMC,1961,96427131270.0,95.34959824
Low & middle income,LMY,1961,327574000000.0,144.0552381
Lesotho,LSO,1961,35699286.01,41.85674859
Late-demographic dividend,LTE,1961,177783000000.0,161.7259505
Lithuania,LTU,1961,,
Luxembourg,LUX,1961,704145671.4,2222.366366
Latvia,LVA,1961,,
"Macao SAR, China",MAC,1961,,
St. Martin (French part),MAF,1961,,
Morocco,MAR,1961,2025689537.0,158.923584
Monaco,MCO,1961,,
Moldova,MDA,1961,,
Madagascar,MDG,1961,699161943.9,133.8477609
Maldives,MDV,1961,,
Middle East & North Africa,MEA,1961,,
Mexico,MEX,1961,14160000000.0,363.3932709
Marshall Islands,MHL,1961,,
Middle income,MIC,1961,314173000000.0,147.503903
North Macedonia,MKD,1961,,
Mali,MLI,1961,,
Malta,MLT,1961,,
Myanmar,MMR,1961,584351384.5,26.30835691
Middle East & North Africa (excluding high income),MNA,1961,,
Montenegro,MNE,1961,,
Mongolia,MNG,1961,,
Northern Mariana Islands,MNP,1961,,
Mozambique,MOZ,1961,,
Mauritania,MRT,1961,159213140.0,181.8360961
Mauritius,MUS,1961,,
Malawi,MWI,1961,174576508.5,46.58158517
Malaysia,MYS,1961,1901868548.0,225.9335935
North America,NAC,1961,604324000000.0,2991.592897
Namibia,NAM,1961,,
New Caledonia,NCL,1961,,
Niger,NER,1961,485785234.9,139.3403234
Nigeria,NGA,1961,4467200336.0,96.97902998
Nicaragua,NIC,1961,240524723.4,131.4506526
Netherlands,NLD,1961,13493833740.0,1159.392357
Norway,NOR,1961,5632460937.0,1560.324931
Nepal,NPL,1961,531959561.6,51.81124873
Nauru,NRU,1961,,
New Zealand,NZL,1961,5670064168.0,2343.292213
OECD members,OED,1961,1136640000000.0,1384.98117
Oman,OMN,1961,,
Other small states,OSS,1961,,
Pakistan,PAK,1961,4118647627.0,89.40903403
Panama,PAN,1961,599026300.0,513.2516793
Peru,PER,1961,2899654840.0,277.5687634
Philippines,PHL,1961,8171186335.0,300.8420416
Palau,PLW,1961,,
Papua New Guinea,PNG,1961,244832035.0,106.5853255
Poland,POL,1961,,
Pre-demographic dividend,PRE,1961,21644539085.0,112.7967926
Puerto Rico,PRI,1961,1865100000.0,777.2150274
"Korea, Dem. People's Rep.",PRK,1961,,
Portugal,PRT,1961,3417516639.0,382.729947
Paraguay,PRY,1961,,
West Bank and Gaza,PSE,1961,,
Pacific island small states,PSS,1961,,
Post-demographic dividend,PST,1961,1107850000000.0,1449.261704
French Polynesia,PYF,1961,,
Qatar,QAT,1961,,
Romania,ROU,1961,,
Russian Federation,RUS,1961,,
Rwanda,RWA,1961,122000016.0,40.68926811
South Asia,SAS,1961,50331770781.0,86.04608276
Saudi Arabia,SAU,1961,,
Sudan,SDN,1961,1419333333.0,133.0822449
Senegal,SEN,1961,1058975266.0,321.3612396
Singapore,SGP,1961,764634783.7,449.1510713
Solomon Islands,SLB,1961,,
Sierra Leone,SLE,1961,327834680.6,139.3635697
El Salvador,SLV,1961,,
San Marino,SMR,1961,,
Somalia,SOM,1961,191659914.4,68.10639697
Serbia,SRB,1961,,
Sub-Saharan Africa (excluding high income),SSA,1961,32412876758.0,139.3957626
South Sudan,SSD,1961,,
Sub-Saharan Africa,SSF,1961,32423376601.0,139.4152035
Small states,SST,1961,,
Sao Tome and Principe,STP,1961,,
Suriname,SUR,1961,107700000.0,363.9583256
Slovak Republic,SVK,1961,,
Slovenia,SVN,1961,,
Sweden,SWE,1961,17212686615.0,2288.921701
Eswatini,SWZ,1961,43025199.5,125.3114919
Sint Maarten (Dutch part),SXM,1961,,
Seychelles,SYC,1961,11592011.59,270.2793628
Syrian Arab Republic,SYR,1961,945244972.1,200.1834798
Turks and Caicos Islands,TCA,1961,,
Chad,TCD,1961,333975338.8,109.1292505
East Asia & Pacific (IDA & IBRD countries),TEA,1961,71507027134.0,80.99952519
Europe & Central Asia (IDA & IBRD countries),TEC,1961,,
Togo,TGO,1961,126396469.7,79.12028165
Thailand,THA,1961,3034043574.0,107.498001
Tajikistan,TJK,1961,,
Turkmenistan,TKM,1961,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1961,84140069171.0,390.205816
Timor-Leste,TLS,1961,,
Middle East & North Africa (IDA & IBRD countries),TMN,1961,,
Tonga,TON,1961,,
South Asia (IDA & IBRD),TSA,1961,50331770781.0,86.04608276
Sub-Saharan Africa (IDA & IBRD countries),TSS,1961,32423376601.0,139.4152035
Trinidad and Tobago,TTO,1961,584961208.7,676.4011784
Tunisia,TUN,1961,,
Turkiye,TUR,1961,7988888889.0,283.8282843
Tuvalu,TUV,1961,,
Tanzania,TZA,1961,,
Uganda,UGA,1961,441524109.0,63.22096734
Ukraine,UKR,1961,,
Upper middle income,UMC,1961,218363000000.0,195.2052553
Uruguay,URY,1961,1547388781.0,601.7030027
United States,USA,1961,563300000000.0,3066.562869
Uzbekistan,UZB,1961,,
St. Vincent and the Grenadines,VCT,1961,13999883.33,170.3812109
"Venezuela, RB",VEN,1961,8189090909.0,970.3563984
British Virgin Islands,VGB,1961,,
Virgin Islands (U.S.),VIR,1961,,
Vietnam,VNM,1961,,
Vanuatu,VUT,1961,,
World,WLD,1961,1448390000000.0,471.5442012
Samoa,WSM,1961,,
Kosovo,XKX,1961,,
"Yemen, Rep.",YEM,1961,,
South Africa,ZAF,1961,9225996313.0,526.4617501
Zambia,ZMB,1961,696285714.3,220.0420671
Zimbabwe,ZWE,1961,1096646600.0,280.8286629
Aruba,ABW,1962,,
Africa Eastern and Southern,AFE,1962,23707015394.0,172.2710222
Afghanistan,AFG,1962,546666677.8,58.4580087
Africa Western and Central,AFW,1962,11943187848.0,118.8294606
Angola,AGO,1962,,
Albania,ALB,1962,,
Andorra,AND,1962,,
Arab World,ARB,1962,,
United Arab Emirates,ARE,1962,,
Argentina,ARG,1962,24450604877.0,1155.890717
Armenia,ARM,1962,,
American Samoa,ASM,1962,,
Antigua and Barbuda,ATG,1962,,
Australia,AUS,1962,19922723709.0,1854.656834
Austria,AUT,1962,7756110210.0,1087.834243
Azerbaijan,AZE,1962,,
Burundi,BDI,1962,213500006.0,73.43533082
Belgium,BEL,1962,13264015675.0,1438.523233
Benin,BEN,1962,236434906.8,94.46449724
Burkina Faso,BFA,1962,379567023.3,76.52054931
Bangladesh,BGD,1962,5081413340.0,100.1221296
Bulgaria,BGR,1962,,
Bahrain,BHR,1962,,
"Bahamas, The",BHS,1962,212254902.0,1752.840006
Bosnia and Herzegovina,BIH,1962,,
Belarus,BLR,1962,,
Belize,BLZ,1962,31856922.86,327.0999965
Bermuda,BMU,1962,94149985.97,2020.385965
Bolivia,BOL,1962,444665186.4,116.9249682
Brazil,BRA,1962,19231747852.0,251.3483174
Barbados,BRB,1962,,
Brunei Darussalam,BRN,1962,,
Bhutan,BTN,1962,,
Botswana,BWA,1962,35643207.63,68.05034896
Central African Republic,CAF,1962,124482748.9,80.21271167
Canada,CAN,1962,42227447632.0,2268.585346
Central Europe and the Baltics,CEB,1962,,
Switzerland,CHE,1962,11879982759.0,2131.391652
Channel Islands,CHI,1962,,
Chile,CHL,1962,5416272727.0,638.94536
China,CHN,1962,47209359006.0,70.90941167
Cote d'Ivoire,CIV,1962,645284344.7,171.1286396
Cameroon,CMR,1962,694247725.5,128.5946372
"Congo, Dem. Rep.",COD,1962,3779841429.0,235.6335244
"Congo, Rep.",COG,1962,166521239.9,155.7385272
Colombia,COL,1962,4955543963.0,289.9179458
Comoros,COM,1962,,
Cabo Verde,CPV,1962,,
Costa Rica,CRI,1962,479180824.3,334.3092487
Caribbean small states,CSS,1962,2153895648.0,494.7363719
Cuba,CUB,1962,,
Curacao,CUW,1962,,
Cayman Islands,CYM,1962,,
Cyprus,CYP,1962,,
Czech Republic,CZE,1962,,
Germany,DEU,1962,,
Djibouti,DJI,1962,,
Dominica,DMA,1962,,
Denmark,DNK,1962,,
Dominican Republic,DOM,1962,824100000.0,234.0516294
Algeria,DZA,1962,2001428328.0,172.242509
East Asia & Pacific (excluding high income),EAP,1962,65396588241.0,72.14788168
Early-demographic dividend,EAR,1962,163742000000.0,159.4058085
East Asia & Pacific,EAS,1962,158361000000.0,149.6629864
Europe & Central Asia (excluding high income),ECA,1962,,
Europe & Central Asia,ECS,1962,,
Ecuador,ECU,1962,1518208221.0,315.688704
"Egypt, Arab Rep.",EGY,1962,,
Euro area,EMU,1962,298819000000.0,1106.286139
Eritrea,ERI,1962,,
Spain,ESP,1962,16138545209.0,520.2061314
Estonia,EST,1962,,
Ethiopia,ETH,1962,,
European Union,EUU,1962,,
Fragile and conflict affected situations,FCS,1962,,
Finland,FIN,1962,6340580854.0,1411.702398
Fiji,FJI,1962,122906435.0,291.4733335
France,FRA,1962,75607529810.0,1578.284538
Faroe Islands,FRO,1962,,
"Micronesia, Fed. Sts.",FSM,1962,,
Gabon,GAB,1962,182796536.5,357.5237617
United Kingdom,GBR,1962,81247564157.0,1525.775853
Georgia,GEO,1962,,
Ghana,GHA,1962,1382352941.0,195.4693986
Gibraltar,GIB,1962,,
Guinea,GIN,1962,,
"Gambia, The",GMB,1962,,
Guinea-Bissau,GNB,1962,,
Equatorial Guinea,GNQ,1962,9122751.453,34.79058136
Greece,GRC,1962,5213047711.0,617.0577577
Grenada,GRD,1962,,
Greenland,GRL,1962,,
Guatemala,GTM,1962,1143600000.0,261.1791338
Guam,GUM,1962,,
Guyana,GUY,1962,194948375.4,321.5452368
High income,HIC,1962,1221770000000.0,1528.486014
"Hong Kong SAR, China",HKG,1962,1612346412.0,487.8211341
Honduras,HND,1962,387750000.0,179.8763063
Heavily indebted poor countries (HIPC),HPC,1962,19383483570.0,114.311615
Croatia,HRV,1962,,
Haiti,HTI,1962,281896800.0,70.13804588
Hungary,HUN,1962,,
IBRD only,IBD,1962,320918000000.0,162.5707617
IDA & IBRD total,IBT,1962,364190000000.0,153.5124517
IDA total,IDA,1962,41990402228.0,105.407725
IDA blend,IDB,1962,13806052818.0,109.3203779
Indonesia,IDN,1962,,
IDA only,IDX,1962,29060744250.0,106.8127455
Isle of Man,IMN,1962,,
India,IND,1962,42161481858.0,89.88175649
Not classified,INX,1962,,
Ireland,IRL,1962,2260349684.0,797.0062884
"Iran, Islamic Rep.",IRN,1962,4693566416.0,203.4373696
Iraq,IRQ,1962,1954634836.0,254.7015332
Iceland,ISL,1962,284916516.2,1562.23073
Israel,ISR,1962,2510000000.0,1094.635848
